State,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Alabama,Birmingham,08/06/2015,5.133333,10.4,21,9,0.033556,0.042,8,39,0.66,3.3,8,4.0,0.216667,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,09/06/2015,5.9375,15.7,22,14,0.035375,0.059,9,64,0.413636,1.3,6,1.0,0.1875,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,10/06/2015,12.320833,23.0,1,22,0.029208,0.058,9,61,0.35,2.2,16,3.0,0.225,0.3,6.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,11/06/2015,12.145833,27.7,20,25,0.026208,0.043,7,40,0.831818,2.7,22,3.0,0.216667,0.3,20.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,12/06/2015,5.309524,9.7,22,8,0.025167,0.037,6,34,0.527273,2.4,22,3.0,0.129167,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,13/06/2015,4.879167,11.7,5,10,0.01725,0.027,8,25,0.331818,0.8,10,0.0,0.104167,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,14/06/2015,7.7,20.0,22,19,0.01675,0.03,10,28,0.581818,4.7,23,6.0,0.1125,0.2,21.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,15/06/2015,12.640909,26.5,21,25,0.020833,0.045,9,42,1.66,11.5,0,16.0,0.216667,0.3,2.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,16/06/2015,10.291667,21.1,22,20,0.024458,0.05,9,46,1.545455,7.9,9,10.0,0.290909,0.4,2.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,17/06/2015,12.208333,24.4,6,23,0.022292,0.045,8,42,2.904545,15.4,5,21.0,0.283333,0.5,7.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,18/06/2015,8.008333,20.9,4,19,0.022208,0.035,9,32,1.168182,5.7,3,7.0,0.229167,0.4,3.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,19/06/2015,4.57619,13.1,0,12,0.019167,0.025,7,23,1.1,4.4,22,6.0,0.154167,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,20/06/2015,4.395833,11.4,23,10,0.019333,0.03,11,28,0.540909,1.2,5,1.0,0.170833,0.3,21.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,21/06/2015,5.620833,17.5,0,16,0.01525,0.026,7,24,0.35,0.7,3,0.0,0.179167,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,22/06/2015,8.4375,27.0,23,25,0.025333,0.048,7,44,0.595,5.6,6,7.0,0.188889,0.3,22.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,23/06/2015,9.020833,24.9,0,23,0.027333,0.042,10,39,0.686364,4.3,6,6.0,0.258333,0.4,2.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,24/06/2015,4.929167,15.3,5,14,0.04375,0.06,10,67,0.795,2.7,13,3.0,0.116667,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,25/06/2015,14.275,32.1,20,30,0.027,0.053,8,49,0.218182,0.7,5,0.0,0.270833,0.6,23.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,26/06/2015,10.254167,22.9,5,21,0.027625,0.04,8,37,0.322727,1.4,12,1.0,0.316667,0.7,1.0,8.0,32.6010112,-86.6807365
Alabama,Birmingham,27/06/2015,3.729167,6.9,3,6,0.028583,0.04,10,37,0.25,0.6,3,0.0,0.133333,0.2,6.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,28/06/2015,5.25,27.6,22,25,0.03375,0.053,9,49,0.259091,1.0,20,1.0,0.120833,0.2,19.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,29/06/2015,9.686364,27.5,6,25,0.034917,0.054,9,50,0.485,2.6,7,3.0,0.255556,0.4,9.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,30/06/2015,8.125,29.5,8,27,0.030833,0.047,10,44,0.227273,0.5,18,0.0,0.146667,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,01/07/2015,8.178947,16.6,19,15,0.023458,0.037,10,34,0.313636,0.7,9,0.0,0.216667,0.3,5.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,02/07/2015,5.375,9.7,6,8,0.01825,0.024,9,22,0.25,0.7,8,0.0,0.178571,0.3,23.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,03/07/2015,5.5375,10.3,18,9,0.023792,0.032,9,30,0.640909,3.9,18,4.0,0.291667,0.5,3.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,04/07/2015,3.8625,7.1,17,7,0.025542,0.036,7,33,0.090909,0.4,10,0.0,0.154167,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,05/07/2015,2.916667,6.2,20,6,0.028458,0.04,10,37,0.254545,0.8,11,0.0,0.15,0.2,4.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,06/07/2015,5.566667,15.7,23,14,0.023083,0.036,10,33,0.195,0.8,7,0.0,0.166667,0.2,2.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,07/07/2015,8.220833,16.8,1,15,0.021,0.034,8,31,0.495455,1.4,8,1.0,0.2875,0.4,7.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,08/07/2015,7.8625,19.2,23,18,0.022042,0.036,8,33,0.41,1.7,17,1.0,0.216667,0.4,5.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,09/07/2015,9.883333,26.2,21,25,0.023208,0.036,9,33,0.263636,1.0,8,1.0,0.195833,0.3,6.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,10/07/2015,12.425,30.7,20,28,0.02125,0.042,8,39,0.645455,2.3,8,3.0,0.3125,0.6,23.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,11/07/2015,10.291667,22.2,23,21,0.02025,0.038,8,35,0.877273,4.8,6,6.0,0.445833,0.8,2.0,9.0,32.6010112,-86.6807365
Alabama,Birmingham,12/07/2015,8.020833,24.7,23,23,0.021917,0.04,9,37,1.090909,6.1,5,9.0,0.341667,0.7,5.0,8.0,32.6010112,-86.6807365
Alabama,Birmingham,13/07/2015,7.872727,20.9,2,19,0.027583,0.044,9,41,0.155,0.4,14,0.0,0.183333,0.3,0.0,3.0,32.6010112,-86.6807365
